Holiday,HolidayFlag,DayOfWeek,WeekOfYear,Day,Month,Year,PeriodOfDay,ForecastWindProduction,SystemLoadEA,SMPEA,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2
11,0,0,47,21,11,2011,13,95.99,3534.13,44.2,10.0,5.6,547.93,132.0,3408.83
11,0,5,44,5,11,2011,41,112.9,4538.29,48.26,6.0,13.0,554.97,69.0,4414.3
11,0,0,48,26,11,2012,14,1008.1,3945.87,51.82,6.0,27.8,493.29,1131.0,3723.04
11,0,5,21,25,5,2013,8,11.16,2582.6,50.27,8.0,9.3,605.08,55.0,2604.92
7,1,0,23,3,6,2013,0,100.1,2987.28,64.1,14.0,13.0,565.67,55.0,2941.98
11,0,1,49,6,12,2011,26,912.41,5388.76,47.22,7.0,16.7,482.6,521.0,5079.71
11,0,1,26,26,6,2012,20,293.6,4500.25,81.4,15.0,13.0,539.46,308.0,4273.97
11,0,6,32,11,8,2013,4,313.22,2551.59,29.15,13.0,9.3,481.87,325.0,2356.41
11,0,5,12,23,3,2013,27,1289.53,4547.71,95.0,6.0,37.0,400.32,1199.0,4273.79
11,0,5,14,6,4,2013,14,56.67,3276.63,55.5,0.0,7.4,650.62,64.0,3260.7
11,0,3,25,21,6,2012,14,277.0,3319.57,48.82,10.0,16.7,658.11,242.0,3248.22
11,0,5,5,4,2,2012,33,668.8,4832.15,64.25,9.0,24.1,523.6,656.0,4645.2
5,1,4,13,29,3,2013,43,903.3,4780.36,74.01,3.0,22.2,479.84,595.0,4252.8
11,0,2,2,9,1,2013,18,148.1,4812.21,67.45,4.0,11.1,535.88,156.0,4810.83
11,0,1,31,30,7,2013,28,489.6,4433.01,65.67,18.0,22.2,417.5,570.0,4094.94
11,0,4,23,7,6,2013,30,210.15,4262.16,54.42,20.0,27.8,435.09,238.0,4080.24
11,0,5,26,30,6,2012,44,838.49,3537.59,56.36,10.0,18.5,418.56,697.0,3086.1
11,0,1,4,24,1,2012,21,642.1,5141.48,65.32,11.0,16.7,529.75,639.0,4844.95
11,0,2,13,27,3,2013,16,388.21,4684.01,92.09,-1.0,22.2,532.89,256.0,4504.32
11,0,1,2,10,1,2012,39,719.97,5716.8,75.21,9.0,24.1,505.3,582.0,5298.53
11,0,1,20,15,5,2012,18,664.76,4535.59,49.91,7.0,29.6,456.96,767.0,4289.82
11,0,6,24,17,6,2012,20,51.2,3483.41,44.67,12.0,7.4,559.12,39.0,3565.89
11,0,0,4,21,1,2013,29,122.4,5328.18,71.67,4.0,13.0,515.23,89.0,5182.6
11,0,2,7,13,2,2013,24,1200.19,5159.11,68.97,11.0,27.8,421.68,1174.0,4870.01
11,0,2,4,25,1,2012,0,1212.4,3905.45,41.27,9.0,29.6,432.68,1052.0,3460.32
11,0,0,21,21,5,2012,32,244.66,4467.67,84.1,12.0,16.7,543.05,280.0,4361.46
11,0,5,37,15,9,2012,32,600.4,3855.78,61.09,16.0,20.4,442.49,436.0,3594.23
11,0,2,38,18,9,2013,43,147.92,4493.63,132.36,10.0,11.1,475.2,174.0,4230.72
11,0,1,44,1,11,2011,28,920.69,4933.87,56.25,12.0,22.2,525.69,761.0,4338.35
11,0,6,27,7,7,2013,22,57.1,3655.88,71.24,21.0,9.3,565.77,12.0,3708.84
11,0,4,20,17,5,2013,13,165.37,3144.11,59.3,4.0,11.1,408.45,137.0,3201.15
11,0,1,49,6,12,2011,17,747.99,4675.37,43.92,3.0,18.5,500.32,491.0,4895.8
14,1,2,52,26,12,2012,38,1283.5,4532.07,96.34,6.0,22.2,357.31,1081.0,3872.66
11,0,6,9,3,3,2013,40,274.5,4912.59,143.98,3.0,18.5,486.4,259.0,4584.74
11,0,3,49,8,12,2011,28,1040.4,5366.07,75.61,8.0,29.6,425.78,1359.0,4661.05
11,0,5,26,30,6,2012,15,281.85,2966.69,48.82,11.0,16.7,523.27,396.0,2696.44
11,0,5,42,19,10,2013,8,461.8,2665.66,47.29,14.0,11.1,428.78,408.0,2529.94
11,0,4,26,28,6,2013,34,812.04,4283.42,65.89,16.0,25.9,308.8,955.0,4037.87
11,0,6,36,9,9,2012,14,571.3,2526.82,42.03,15.0,16.7,469.77,594.0,2255.57
11,0,6,44,6,11,2011,7,153.9,2829.12,43.74,4.0,3.7,559.47,75.0,2812.84
11,0,6,38,22,9,2013,7,559.5,2474.77,37.4,15.0,1.9,462.91,539.0,2310.93
11,0,3,42,17,10,2013,26,290.2,4604.4,82.86,16.0,16.7,428.88,173.0,4484.02
11,0,0,6,6,2,2012,21,93.5,5128.21,67.39,9.0,13.0,569.31,77.0,5110.77
11,0,4,33,16,8,2013,14,197.11,3129.49,47.41,11.0,13.0,566.68,268.0,3134.54
11,0,1,21,22,5,2012,31,404.51,4484.8,46.44,13.0,14.8,548.17,311.0,4372.09
11,0,3,35,29,8,2013,45,139.02,3830.57,47.78,15.0,11.1,479.24,254.0,3674.8
13,1,0,12,19,3,2012,22,764.8,4438.34,58.8,10.0,18.5,437.78,831.0,3785.58
11,0,3,43,24,10,2013,30,788.1,4548.34,69.87,14.0,27.8,372.08,637.0,4471.13
11,0,2,25,19,6,2013,3,145.33,2785.95,30.52,10.0,25.9,500.0,153.0,2664.61
11,0,1,9,26,2,2013,4,134.6,3461.6,44.18,1.0,11.1,589.26,89.0,3357.35
11,0,6,52,1,1,2012,38,1076.39,5057.82,102.51,3.0,14.8,537.76,674.0,4202.38
11,0,3,52,29,12,2011,7,1180.7,3093.69,27.24,6.0,37.0,296.64,994.0,2399.93
11,0,6,41,14,10,2012,28,272.1,4063.64,72.55,12.0,20.4,461.85,414.0,3960.89
11,0,0,43,21,10,2013,37,771.3,4918.06,79.55,15.0,29.6,363.64,850.0,5108.5
11,0,4,5,3,2,2012,10,601.6,3219.2,41.91,1.0,11.1,428.82,593.0,3170.1
11,0,2,23,6,6,2012,24,68.3,4581.61,64.37,15.0,11.1,478.8,4.0,4558.49
11,0,0,38,17,9,2012,23,912.8,4458.71,78.61,13.0,25.9,434.17,704.0,4252.0
11,0,5,10,10,3,2012,19,292.1,4124.14,48.65,10.0,13.0,483.58,417.0,4031.08
11,0,5,30,28,7,2012,47,251.92,3061.77,54.7,11.0,16.7,488.43,352.0,2858.52
11,0,4,24,15,6,2012,13,1064.19,2929.49,28.44,12.0,22.2,404.26,885.0,2575.28
11,0,1,20,15,5,2012,1,866.02,3228.4,51.94,6.0,13.0,441.29,842.0,2941.05
11,0,0,5,28,1,2013,14,1408.9,4077.39,48.03,7.0,31.5,384.14,1303.0,3750.87
11,0,6,19,13,5,2012,34,1339.63,3872.76,85.01,12.0,38.9,302.44,1196.0,3309.35
11,0,3,37,13,9,2012,35,1169.22,4589.16,68.62,16.0,20.4,415.7,1092.0,4232.81
11,0,5,52,28,12,2013,42,825.24,4273.17,62.19,3.0,14.8,298.55,767.0,4090.16
11,0,0,8,20,2,2012,31,1075.09,4950.75,54.81,9.0,29.6,482.22,979.0,4819.94
11,0,6,38,22,9,2013,19,399.1,3484.01,73.69,16.0,9.3,484.48,316.0,3413.91
11,0,6,11,17,3,2013,41,330.14,4390.31,104.53,4.0,18.5,478.69,336.0,4132.16
11,0,5,31,3,8,2013,2,584.1,2760.14,38.71,12.0,13.0,433.14,564.0,2429.26
2,1,0,52,24,12,2012,23,498.6,4622.58,55.35,9.0,20.4,534.54,369.0,4237.29
11,0,2,33,15,8,2012,6,666.78,2594.91,43.04,16.0,29.6,362.04,608.0,2258.88
11,0,3,44,1,11,2012,23,523.91,4918.9,64.81,6.0,16.7,454.23,655.0,4580.57
11,0,3,50,15,12,2011,22,577.0,5374.42,50.1,3.0,13.0,540.51,415.0,5285.61
11,0,4,28,12,7,2013,11,4.19,2496.54,25.13,14.0,7.4,653.02,10.0,2485.66
11,0,4,46,15,11,2013,25,310.77,4731.2,53.06,10.0,13.0,412.38,383.0,4671.09
11,0,4,38,21,9,2012,17,167.83,4322.68,61.11,11.0,7.4,469.89,147.0,4293.02
11,0,0,41,8,10,2012,35,411.0,4926.73,123.9,11.0,22.2,461.5,292.0,4726.94
11,0,0,45,5,11,2012,37,352.5,5618.36,136.4,7.0,13.0,473.89,324.0,5360.42
11,0,2,46,13,11,2013,35,1491.11,5820.16,88.7,9.0,25.9,291.54,1479.0,5496.03
11,0,5,38,21,9,2013,40,731.3,4240.2,65.6,16.0,14.8,450.45,700.0,4008.88
11,0,6,42,21,10,2012,5,518.6,2825.38,37.73,12.0,14.8,541.22,456.0,2638.01
11,0,3,6,7,2,2013,27,1218.5,5128.79,76.16,8.0,37.0,447.96,1109.0,4824.09
11,0,1,23,4,6,2013,0,62.43,2878.69,50.53,10.0,7.4,523.53,145.0,2921.71
11,0,3,49,5,12,2013,47,478.13,3940.79,64.13,8.0,11.1,506.27,565.0,3763.35
11,0,4,46,16,11,2012,42,41.91,4843.16,61.97,7.0,9.3,542.62,89.0,4585.09
11,0,6,25,24,6,2012,1,174.6,3005.3,49.23,11.0,14.8,594.4,126.0,2895.93
11,0,6,48,1,12,2013,7,94.84,3009.69,42.86,6.0,7.4,658.5,119.0,2843.74
11,0,2,30,25,7,2012,34,36.5,4500.45,81.54,16.0,11.1,590.67,78.0,4449.76
11,0,4,9,2,3,2012,21,614.56,4839.01,58.46,8.0,27.8,470.85,801.0,4552.89
11,0,5,45,10,11,2012,1,412.91,3624.35,51.25,3.0,9.3,583.32,461.0,3276.98
11,0,4,14,5,4,2013,26,225.5,4923.92,159.88,7.0,24.1,489.84,273.0,4727.69
11,0,2,30,24,7,2013,31,502.2,4474.24,62.63,18.0,25.9,397.82,644.0,4152.07
11,0,6,30,28,7,2013,16,69.74,2848.45,61.74,15.0,11.1,606.34,48.0,2732.48
11,0,1,44,30,10,2012,15,226.37,3702.04,62.04,5.0,9.3,601.68,295.0,3764.85
11,0,0,49,5,12,2011,43,1117.28,4986.32,49.24,3.0,16.7,465.06,810.0,4812.97
11,0,6,46,17,11,2013,24,272.1,4207.08,52.84,11.0,11.1,460.15,202.0,4226.91
11,0,6,26,1,7,2012,40,343.34,3587.29,60.42,14.0,16.7,549.54,491.0,3341.16
11,0,5,2,14,1,2012,34,1060.4,5409.12,198.66,8.0,33.3,457.28,1005.0,5121.08
11,0,5,37,14,9,2013,45,444.0,3448.22,51.82,12.0,11.1,433.33,451.0,3184.89
11,0,3,41,11,10,2012,27,999.35,4540.23,42.25,12.0,38.9,385.15,851.0,4397.3
11,0,1,2,8,1,2013,20,526.42,4967.64,67.09,8.0,20.4,516.07,398.0,4632.02
11,0,3,49,8,12,2011,12,1403.9,3451.34,27.74,10.0,50.0,311.03,1149.0,3069.73
11,0,3,25,20,6,2013,33,47.93,4559.96,59.48,15.0,11.1,476.78,268.0,4339.0
11,0,4,29,19,7,2013,17,61.35,4123.9,60.54,18.0,11.1,546.57,77.0,4129.33
11,0,2,45,6,11,2013,11,210.75,2889.77,45.29,9.0,5.6,472.05,159.0,2774.37
11,0,6,26,30,6,2013,26,1058.6,3916.36,66.5,14.0,29.6,309.57,1124.0,3491.83
11,0,2,48,27,11,2013,32,102.32,5292.86,57.76,8.0,9.3,489.36,157.0,5276.95
11,0,6,52,30,12,2012,7,1361.9,3030.52,36.89,4.0,35.2,329.54,806.0,2434.5
11,0,0,48,25,11,2013,5,4.09,3033.51,42.92,6.0,9.3,549.34,11.0,2961.97
11,0,1,17,24,4,2012,26,54.1,4720.75,87.67,10.0,7.4,574.09,44.0,4639.51
11,0,3,22,31,5,2012,45,71.2,4006.61,66.02,15.0,9.3,494.01,57.0,3845.53
11,0,3,12,22,3,2012,15,507.4,4174.01,49.59,7.0,24.1,597.65,538.0,4063.34
11,0,3,44,31,10,2013,31,987.44,4788.21,54.06,11.0,20.4,376.75,887.0,4430.85
11,0,5,49,10,12,2011,45,820.14,4260.13,44.36,8.0,22.2,523.48,786.0,4045.62
11,0,2,16,18,4,2012,27,506.32,4619.42,52.44,10.0,25.9,541.36,556.0,4506.44
11,0,1,12,19,3,2013,46,165.2,4197.88,61.53,1.0,20.4,533.42,119.0,4174.52
11,0,6,3,22,1,2012,28,617.49,4473.88,57.8,9.0,22.2,458.67,915.0,3965.75
11,0,5,45,10,11,2012,23,648.67,4354.99,56.9,7.0,24.1,527.16,345.0,4234.67
11,0,1,13,27,3,2012,21,262.4,4862.05,65.1,11.0,24.1,541.87,135.0,4615.06
11,0,6,15,15,4,2012,34,12.85,3734.84,55.47,9.0,11.1,641.2,29.0,3983.15
11,0,2,1,4,1,2012,32,1322.89,5021.62,53.47,9.0,37.0,421.33,1296.0,5431.23
11,0,2,21,22,5,2013,14,481.87,3502.95,62.03,9.0,24.1,477.36,564.0,3467.18
11,0,5,50,17,12,2011,37,413.55,5800.61,105.29,3.0,18.5,459.69,524.0,5527.35
11,0,1,48,26,11,2013,15,92.74,4613.52,69.93,5.0,7.4,514.36,79.0,4602.65
11,0,4,7,17,2,2012,9,484.9,3133.45,39.39,9.0,13.0,521.32,586.0,2876.59
11,0,6,47,25,11,2012,31,219.5,4244.06,53.6,7.0,3.7,560.87,420.0,4373.82
11,0,2,52,28,12,2011,42,1334.99,4889.49,65.58,5.0,16.7,343.51,1247.0,4159.78
11,0,2,12,20,3,2013,37,163.4,5448.39,86.92,3.0,9.3,469.54,273.0,5314.94
11,0,4,30,27,7,2012,21,446.7,4453.41,78.59,15.0,24.1,536.4,545.0,4110.72
11,0,6,47,25,11,2012,40,653.2,4837.22,59.34,3.0,35.2,498.58,752.0,4392.56
11,0,6,29,21,7,2013,3,274.3,2697.19,36.56,17.0,13.0,523.3,328.0,2531.14
11,0,0,31,29,7,2013,13,180.86,2794.32,46.96,14.0,14.8,557.44,177.0,2672.94
11,0,2,11,13,3,2013,14,314.4,4063.26,61.95,1.0,14.8,536.61,234.0,4144.85
11,0,2,26,27,6,2012,29,294.4,4461.78,62.72,14.0,20.4,516.86,256.0,4426.84
11,0,3,23,7,6,2012,5,109.58,2644.87,41.9,11.0,18.5,542.42,60.0,2534.89
11,0,0,4,23,1,2012,38,84.55,5621.0,180.39,8.0,3.7,579.56,53.0,5573.2
11,0,4,22,1,6,2012,22,45.1,4575.14,84.09,19.0,3.7,546.28,6.0,4512.12
11,0,3,38,20,9,2012,46,152.18,3613.47,48.23,11.0,5.6,518.5,109.0,3407.29
11,0,1,4,24,1,2012,36,870.87,5957.14,106.24,9.0,25.9,535.61,629.0,5552.46
11,0,5,49,8,12,2012,36,415.1,5634.09,289.47,6.0,11.1,486.32,471.0,5202.83
11,0,2,32,7,8,2013,4,38.67,2575.56,40.55,14.0,11.1,547.78,126.0,2533.32
11,0,0,37,10,9,2012,20,104.5,4463.37,65.97,15.0,16.7,538.24,108.0,4349.81
11,0,0,46,12,11,2012,31,678.81,4885.21,54.94,12.0,20.4,475.17,891.0,4665.28
11,0,2,7,13,2,2013,15,809.31,4489.43,67.06,7.0,13.0,508.02,728.0,4299.2
11,0,5,1,7,1,2012,47,366.4,4314.18,42.9,4.0,11.1,505.11,442.0,3909.5
11,0,1,25,19,6,2012,44,63.01,3880.58,44.91,12.0,7.4,609.07,106.0,3795.5
11,0,3,49,8,12,2011,5,1335.4,3489.02,42.01,9.0,40.7,297.49,1253.0,2859.99
11,0,3,10,7,3,2013,45,853.5,4451.31,53.59,9.0,25.9,434.73,909.0,3881.82
11,0,1,21,22,5,2012,15,364.74,3805.69,44.0,12.0,14.8,562.62,462.0,3815.31
11,0,2,45,6,11,2013,28,151.83,4577.28,54.36,9.0,14.8,357.96,149.0,4779.33
11,0,4,42,19,10,2012,3,248.71,3130.28,37.06,9.0,14.8,590.16,316.0,2886.56
11,0,1,26,26,6,2012,44,305.8,3995.29,45.54,15.0,16.7,569.16,325.0,3828.96
11,0,3,6,7,2,2013,3,283.0,3510.47,40.15,2.0,13.0,565.68,145.0,3470.29
11,0,2,41,9,10,2013,1,267.0,3143.63,61.09,12.0,11.1,510.72,239.0,2894.38
11,0,3,45,8,11,2012,13,393.8,3607.38,51.73,6.0,5.6,643.11,323.0,3438.04
11,0,1,3,15,1,2013,24,30.73,5142.19,66.84,6.0,3.7,538.37,20.0,5180.49
11,0,5,1,5,1,2013,39,197.21,4831.37,121.91,10.0,7.4,449.83,172.0,4693.47
11,0,4,30,27,7,2012,1,279.5,3080.28,41.26,11.0,22.2,585.88,354.0,2815.33
11,0,3,33,15,8,2013,31,606.27,4415.72,64.77,17.0,33.3,421.25,712.0,4302.49
11,0,4,36,7,9,2012,31,107.05,4410.21,91.93,18.0,3.7,551.38,139.0,4724.75
11,0,6,46,18,11,2012,1,223.49,3507.65,52.15,3.0,5.6,616.05,265.0,3346.67
11,0,6,4,29,1,2012,17,250.9,3165.2,41.2,7.0,3.7,599.87,140.0,3402.46
11,0,3,10,7,3,2013,23,1055.2,5131.73,62.44,8.0,29.6,386.25,925.0,4751.31
11,0,1,8,19,2,2013,5,563.6,3350.89,56.1,8.0,18.5,523.96,370.0,3084.6
11,0,6,47,27,11,2011,22,654.8,4112.2,44.09,8.0,13.0,507.62,528.0,3751.33
11,0,3,48,28,11,2013,35,76.82,6045.34,245.79,9.0,3.7,447.53,56.0,5871.19
11,0,6,6,12,2,2012,33,89.93,4585.69,71.14,9.0,14.8,606.99,71.0,4241.4
11,0,3,10,8,3,2012,20,688.05,4741.4,49.03,8.0,11.1,440.25,788.0,4651.66
11,0,2,23,5,6,2013,16,135.6,3931.17,62.9,12.0,18.5,531.97,93.0,4117.77
11,0,3,15,11,4,2013,15,417.5,4297.58,54.46,7.0,9.3,511.93,278.0,4283.26
11,0,4,49,7,12,2012,1,1126.6,3963.16,40.88,6.0,31.5,381.35,1341.0,3316.02
11,0,5,4,26,1,2013,38,1440.16,5305.22,64.27,10.0,44.4,359.33,1450.0,4612.19
11,0,2,33,15,8,2012,5,601.65,2624.1,43.65,16.0,29.6,374.46,642.0,2304.68
11,0,5,21,25,5,2013,31,180.73,3812.53,49.56,14.0,20.4,413.4,185.0,3559.76
11,0,1,43,23,10,2012,29,45.1,4724.5,65.55,13.0,9.3,578.06,79.0,4553.26
11,0,2,21,22,5,2013,6,382.44,2614.94,40.77,9.0,29.6,411.5,563.0,2543.58
11,0,1,47,20,11,2012,2,713.37,3373.72,59.97,11.0,25.9,461.51,834.0,3222.73
11,0,6,6,10,2,2013,10,537.5,3059.91,33.92,6.0,13.0,558.91,407.0,2813.9
11,0,0,13,26,3,2012,25,330.1,4770.66,61.97,12.0,22.2,514.56,382.0,4549.36
11,0,1,43,23,10,2012,13,37.38,3398.4,40.84,11.0,11.1,705.22,64.0,3399.43
11,0,1,11,12,3,2013,46,604.4,4304.92,62.82,2.0,18.5,475.24,379.0,4140.91
11,0,3,51,20,12,2012,2,175.1,3638.24,49.83,8.0,9.3,581.58,128.0,3473.63
11,0,4,17,27,4,2012,11,609.9,2963.32,41.25,5.0,18.5,625.31,482.0,2759.35
11,0,4,36,6,9,2013,6,76.06,2536.49,32.8,8.0,11.1,563.84,109.0,2493.75
11,0,0,10,5,3,2012,1,433.6,3266.31,90.14,3.0,11.1,471.9,447.0,3149.87
11,0,2,51,18,12,2013,24,1212.3,4902.15,67.55,11.0,33.3,334.9,1357.0,4518.5
11,0,0,16,15,4,2013,40,1433.86,4643.32,50.81,9.0,42.6,353.25,1303.0,4069.57
11,0,5,16,21,4,2012,44,523.9,3978.09,55.77,7.0,22.2,524.05,602.0,3717.94
11,0,6,2,15,1,2012,20,866.8,3764.51,43.91,6.0,29.6,435.91,922.0,3657.93
11,0,2,21,22,5,2013,7,383.39,2574.43,40.77,9.0,24.1,411.91,566.0,2528.12
11,0,5,11,16,3,2013,29,333.4,4380.53,97.12,7.0,16.7,495.27,142.0,4128.05
11,0,4,34,24,8,2012,35,176.73,4338.09,64.82,18.0,14.8,452.11,235.0,4322.83
11,0,2,45,6,11,2013,18,137.55,4632.86,56.01,9.0,7.4,435.18,118.0,4670.44
11,0,3,15,11,4,2013,8,447.0,2896.17,41.81,7.0,25.9,627.1,299.0,3026.03
11,0,2,11,13,3,2013,18,263.9,4929.81,67.31,3.0,11.1,481.51,140.0,4910.24
11,0,0,46,12,11,2012,21,785.42,4945.02,55.2,12.0,22.2,491.51,886.0,4559.43
11,0,3,12,21,3,2013,25,1551.9,4951.36,63.8,6.0,46.3,421.9,1442.0,4732.73
11,0,1,23,4,6,2013,46,130.7,3457.75,60.02,11.0,3.7,533.34,188.0,3478.09
11,0,3,47,24,11,2011,36,1206.1,5825.22,141.84,11.0,33.3,395.79,1287.0,5352.65
11,0,6,32,11,8,2013,18,394.42,3088.46,53.33,14.0,14.8,404.76,340.0,2947.75
11,0,6,37,16,9,2012,0,350.16,3106.22,59.61,11.0,11.1,496.84,500.0,2790.38
11,0,6,2,13,1,2013,5,123.65,3138.65,47.31,2.0,11.1,580.91,133.0,3111.3
11,0,6,47,25,11,2012,9,248.8,2877.94,37.4,2.0,9.3,635.81,146.0,2847.46
11,0,5,48,3,12,2011,45,825.8,4224.75,42.96,7.0,16.7,510.88,816.0,3809.39
11,0,1,46,13,11,2012,2,918.0,3384.2,40.89,11.0,33.3,473.59,949.0,2999.49
14,1,0,52,26,12,2011,37,1082.9,4773.15,77.09,9.0,25.9,341.36,1322.0,3997.65
11,0,4,23,8,6,2012,32,1182.49,4343.39,57.28,14.0,37.0,417.87,1009.0,4151.68
11,0,3,40,3,10,2013,26,478.1,4519.3,75.43,16.0,11.1,396.97,323.0,4525.15
11,0,4,27,6,7,2012,32,197.6,4277.22,50.04,18.0,18.5,525.39,368.0,4198.18
11,0,0,51,19,12,2011,34,738.38,6396.16,165.94,8.0,16.7,432.11,870.0,5997.93
11,0,2,6,6,2,2013,46,348.5,4308.55,55.24,2.0,13.0,501.87,171.0,4260.71
11,0,1,36,4,9,2012,17,234.75,4064.77,49.89,15.0,20.4,526.49,318.0,4083.9
11,0,4,29,20,7,2012,5,58.96,2609.86,44.75,10.0,16.7,640.92,107.0,2535.53
11,0,3,28,12,7,2012,37,295.82,4201.02,62.79,16.0,22.2,538.71,307.0,4048.15
13,1,0,12,19,3,2012,39,808.36,5048.31,155.0,9.0,18.5,436.79,909.0,4489.19
11,0,0,41,7,10,2013,25,874.7,4670.56,64.91,16.0,27.8,369.96,1064.0,4273.55
11,0,0,37,9,9,2013,6,99.2,2430.15,55.79,10.0,11.1,539.9,42.0,2358.02
11,0,4,27,6,7,2012,7,9.09,2636.04,38.51,14.0,9.3,669.51,26.0,2563.0
4,1,0,15,9,4,2012,29,608.1,3753.66,85.99,9.0,27.8,555.5,457.0,3596.46
11,0,1,47,22,11,2011,5,187.97,2963.55,36.96,4.0,14.8,532.46,172.0,2926.06
11,0,2,42,17,10,2012,2,923.5,3212.2,40.77,8.0,24.1,499.83,580.0,2921.58
11,0,1,50,13,12,2011,36,1390.4,6240.65,160.33,2.0,24.1,442.39,1194.0,5815.55
11,0,5,22,2,6,2012,21,285.4,4046.19,69.53,14.0,20.4,487.05,193.0,3842.71
11,0,1,4,22,1,2013,4,62.7,3591.35,42.31,0.0,7.4,570.26,43.0,3460.14
11,0,6,51,23,12,2012,43,429.28,4571.64,74.38,8.0,13.0,493.63,633.0,4037.82
11,0,1,25,18,6,2013,15,44.1,3750.23,45.73,12.0,9.3,567.62,43.0,3774.93
11,0,4,40,4,10,2013,28,268.1,4286.13,53.21,16.0,22.2,417.9,338.0,4312.68
11,0,6,4,29,1,2012,43,197.9,4441.52,65.33,7.0,5.6,559.67,254.0,4180.84
